Configuration,Term,term_label,Prefix,Suffix,Lande,lande_g,leading_pct,Reference,Z,A,proton_number,neutron_number,J,S_qn,L_qn,parity,Level (cm-1),Uncertainty (cm-1),1s,2s,2p,3s,3p,3d,4s,4p,4d,5s,5p,5d,6s,6p
3d8.(3F).5p.(2P),4D*,,,,1.458,1.458,,Coi-odd-atom-AI,27,59,27,32,3.5,1.5,2,1,50741.617,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d7.(2H).4s4.(3P),4H*,,,,0.698,0.698,,Coi-odd-atom-AI,27,59,27,32,3.5,1.5,5,1,51184.571,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).5p.(2P),2G*,,,,1.003,1.003,,Coi-odd-atom-AI,27,59,27,32,3.5,0.5,4,1,51731.562,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d8.(3F).5p.(2P),2F*,,,,1.14,1.14,,Coi-odd-atom-AI,27,59,27,32,3.5,0.5,3,1,51896.627,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d8.(3F).5p.(2P),4G*,,,,0.98,0.98,,Coi-odd-atom-AI,27,59,27,32,3.5,1.5,4,1,52390.278,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d7.(4F).4s5.(3P),6D*,,,,1.536,1.536,,Coi-odd-atom-AI,27,59,27,32,3.5,2.5,2,1,52920.731,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),2F*,,,,1.136,1.136,,Coi-odd-atom-AI,27,59,27,32,3.5,0.5,3,1,53103.692,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),2G*,,,,0.888,0.888,,Coi-odd-atom-AI,27,59,27,32,3.5,0.5,4,1,53373.425,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6F*,,,,1.368,1.368,,Coi-odd-atom-AI,27,59,27,32,3.5,2.5,3,1,53517.201,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6G*,,,,1.209,1.209,,Coi-odd-atom-AI,27,59,27,32,3.5,2.5,4,1,54101.147,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),4D*,,,,1.416,1.416,,Coi-odd-atom-AI,27,59,27,32,3.5,1.5,2,1,54398.578,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),4F*,,,,1.192,1.192,,Coi-odd-atom-AI,27,59,27,32,3.5,1.5,3,1,54932.253,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4P).4s4.(1P),4D*,,,,1.426,1.426,,Coi-odd-atom-AI,27,59,27,32,3.5,1.5,2,1,55120.2,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),2F*,,,,1.167,1.167,,Coi-odd-atom-AI,27,59,27,32,3.5,0.5,3,1,58173.375,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(2G).4s4.(1P),2G*,,,,0.914,0.914,,Coi-odd-atom-AI,27,59,27,32,3.5,0.5,4,1,59388.828,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6F*,,,,1.481,1.481,,Coi-odd-atom-AI,27,59,27,32,4.5,2.5,3,1,23855.594,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6D*,,,,1.569,1.569,,Coi-odd-atom-AI,27,59,27,32,4.5,2.5,2,1,24627.743,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6G*,,,,1.281,1.281,,Coi-odd-atom-AI,27,59,27,32,4.5,2.5,4,1,25937.564,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4F*,,,,1.33,1.33,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,3,1,28345.814,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4G*,,,,1.175,1.175,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,29269.675,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),2G*,,,,1.126,1.126,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,4,1,31699.638,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4G*,,,,1.154,1.154,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,32464.688,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(3F).4p.(2P),4F*,,,,1.313,1.313,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,3,1,32841.916,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(3F).4p.(2P),4G*,,,,1.165,1.165,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,33439.661,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),6D*,,,,1.556,1.556,,Coi-odd-atom-AI,27,59,27,32,4.5,2.5,2,1,38832.218,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4F*,,,,1.319,1.319,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,3,1,41225.71,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4G*,,,,1.169,1.169,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,42269.229,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4H*,,,,0.985,0.985,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,5,1,42988.029,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4F*,,,,1.295,1.295,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,3,1,43295.293,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4G*,,,,1.163,1.163,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,44183.169,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),2H*,,,,0.897,0.897,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,5,1,45111.408,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),2G*,,,,1.131,1.131,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,4,1,46032.095,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),4G*,,,,1.172,1.172,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,47838.985,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),4I*,,,,0.738,0.738,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,6,1,48105.962,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),4F*,,,,1.334,1.334,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,3,1,49197.654,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(1G).4p.(2P),2H*,,,,0.899,0.899,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,5,1,50210.743,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(1G).4p.(2P),2G*,,,,1.1,1.1,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,4,1,50593.29,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(3F).5p.(2P),2G*,,,,1.121,1.121,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,4,1,50738.176,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d8.(3F).5p.(2P),4F*,,,,1.289,1.289,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,3,1,50979.758,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d7.(2H).4s4.(3P),4H*,,,,0.941,0.941,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,5,1,50902.534,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).5p.(2P),4G*,,,,1.171,1.171,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,51803.311,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d7.(4F).4s5.(3P),6D*,,,,1.54,1.54,,Coi-odd-atom-AI,27,59,27,32,4.5,2.5,2,1,52361.974,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6F*,,,,1.414,1.414,,Coi-odd-atom-AI,27,59,27,32,4.5,2.5,3,1,53065.508,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),2G*,,,,1.124,1.124,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,4,1,53275.956,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6G*,,,,1.3,1.3,,Coi-odd-atom-AI,27,59,27,32,4.5,2.5,4,1,53729.716,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),4F*,,,,1.316,1.316,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,3,1,54277.671,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),2H*,,,,0.91,0.91,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,5,1,54860.935,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),4G*,,,,1.199,1.199,,Coi-odd-atom-AI,27,59,27,32,4.5,1.5,4,1,54791.088,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),2H*,,,,0.939,0.939,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,5,1,58187.274,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).6p.(2P),2G*,,,,1.103,1.103,,Coi-odd-atom-AI,27,59,27,32,4.5,0.5,4,1,58589.076,,2,2,6,2,6,8,0,0,0,0,0,0,0,1
3d7.(4F).4s4.(3P),6F*,,,,1.466,1.466,,Coi-odd-atom-AI,27,59,27,32,5.5,2.5,3,1,23611.694,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6G*,,,,1.354,1.354,,Coi-odd-atom-AI,27,59,27,32,5.5,2.5,4,1,25568.635,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4G*,,,,1.276,1.276,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,4,1,28845.165,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4G*,,,,1.287,1.287,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,4,1,32430.535,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4G*,,,,1.291,1.291,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,4,1,41528.455,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4H*,,,,1.137,1.137,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,5,1,42866.715,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4G*,,,,1.279,1.279,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,4,1,43951.907,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),2H*,,,,1.097,1.097,,Coi-odd-atom-AI,27,59,27,32,5.5,0.5,5,1,45540.19,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),4G*,,,,1.273,1.273,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,4,1,47395.638,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),4I*,,,,0.968,0.968,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,6,1,47898.312,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),2I*,,,,0.938,0.938,,Coi-odd-atom-AI,27,59,27,32,5.5,0.5,6,1,49952.488,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(1G).4p.(2P),2H*,,,,1.091,1.091,,Coi-odd-atom-AI,27,59,27,32,5.5,0.5,5,1,50375.835,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(2H).4s4.(3P),4H*,,,,1.11,1.11,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,5,1,50703.011,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).5p.(2P),4G*,,,,1.273,1.273,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,4,1,50932.63,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d7.(4F).4s5.(3P),6F*,,,,1.443,1.443,,Coi-odd-atom-AI,27,59,27,32,5.5,2.5,3,1,52543.444,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6G*,,,,1.349,1.349,,Coi-odd-atom-AI,27,59,27,32,5.5,2.5,4,1,53265.981,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(1P),4G*,,,,1.279,1.279,,Coi-odd-atom-AI,27,59,27,32,5.5,1.5,4,1,54098.422,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),2H*,,,,1.092,1.092,,Coi-odd-atom-AI,27,59,27,32,5.5,0.5,5,1,54873.996,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s6.(3P),6F*,,,,1.442,1.442,,Coi-odd-atom-AI,27,59,27,32,5.5,2.5,3,1,59947.83,,2,2,6,2,2,7,6,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6G*,,,,1.4,1.4,,Coi-odd-atom-AI,27,59,27,32,6.5,2.5,4,1,25138.806,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6G*,,,,1.385,1.385,,Coi-odd-atom-AI,27,59,27,32,6.5,2.5,4,1,52785.854,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s6.(3P),6G*,,,,1.385,1.385,,Coi-odd-atom-AI,27,59,27,32,6.5,2.5,4,1,59951.3,,2,2,6,2,2,7,6,0,0,0,0,0,0,0
