Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4F*"""""",""=""""5/2"""""",""="""""""""",""=""""29216.37"""""",""="""""""""",""="""""""""",""=""""1.033"""""",""=""""  82             :    13  3d8.(3F).4p            4F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4F*"""""",""=""""3/2"""""",""="""""""""",""=""""29563.17"""""",""="""""""""",""="""""""""",""=""""0.410"""""",""=""""  85             :    13  3d8.(3F).4p            4F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4G*"""""",""=""""11/2"""""",""="""""""""",""=""""28845.22"""""",""="""""""""",""="""""""""",""=""""1.276"""""",""=""""  95                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4G*"""""",""=""""9/2"""""",""="""""""""",""=""""29269.73"""""",""="""""""""",""="""""""""",""=""""1.175"""""",""=""""  90                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4G*"""""",""=""""7/2"""""",""="""""""""",""=""""29735.18"""""",""="""""""""",""="""""""""",""=""""0.995"""""",""=""""  91                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4G*"""""",""=""""5/2"""""",""="""""""""",""=""""30102.96"""""",""="""""""""",""="""""""""",""=""""0.577"""""",""=""""  94                                                  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4D*"""""",""=""""7/2"""""",""="""""""""",""=""""29294.52"""""",""="""""""""",""="""""""""",""=""""1.425"""""",""=""""  53             :    42  3d8.(3F).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4D*"""""",""=""""5/2"""""",""="""""""""",""=""""29948.76"""""",""="""""""""",""="""""""""",""=""""1.359"""""",""=""""  57             :    36  3d8.(3F).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4D*"""""",""=""""3/2"""""",""="""""""""",""=""""30443.63"""""",""="""""""""",""="""""""""",""=""""1.192"""""",""=""""  62             :    33  3d8.(3F).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 4D*"""""",""=""""1/2"""""",""="""""""""",""=""""30742.65"""""",""="""""""""",""="""""""""",""=""""-0.006"""""",""=""""  65             :    31  3d8.(3F).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 2G*"""""",""=""""9/2"""""",""="""""""""",""=""""31699.69"""""",""="""""""""",""="""""""""",""=""""1.126"""""",""=""""  47             :    29  3d8.(3F).4p            4G*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 2G*"""""",""=""""7/2"""""",""="""""""""",""=""""32733.07"""""",""="""""""""",""="""""""""",""=""""0.899"""""",""=""""  41             :    29  3d8.(3F).4p            4F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31871.15"""""",""="""""""""",""="""""""""",""=""""1.777"""""",""=""""  66             :    28  3d8.(3F).4p            2F*  """""",""="""""""""""
"=""3p6.3d7.(4F).4s.4p.(3P*)"",""=""""z 2F*"""""",""=""""5/2"""""",""="""""""""",""=""""32781.71"""""",""="""""""""",""="""""""""",""=""""0.870"""""",""=""""  71             :    26  3d8.(3F).4p            2F*  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4D*"""""",""=""""7/2"""""",""="""""""""",""=""""32027.50"""""",""="""""""""",""="""""""""",""=""""1.395"""""",""=""""  46             :    45  3d7.(4F).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4D*"""""",""=""""5/2"""""",""="""""""""",""=""""32654.50"""""",""="""""""""",""="""""""""",""=""""1.366"""""",""=""""  51             :    41  3d7.(4F).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4D*"""""",""=""""3/2"""""",""="""""""""",""=""""33150.68"""""",""="""""""""",""="""""""""",""=""""1.195"""""",""=""""  56             :    37  3d7.(4F).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4D*"""""",""=""""1/2"""""",""="""""""""",""=""""33449.18"""""",""="""""""""",""="""""""""",""=""""0.012"""""",""=""""  59             :    36  3d7.(4F).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4G*"""""",""=""""11/2"""""",""="""""""""",""=""""32430.59"""""",""="""""""""",""="""""""""",""=""""1.287"""""",""=""""  94                                                  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4G*"""""",""=""""9/2"""""",""="""""""""",""=""""32464.73"""""",""="""""""""",""="""""""""",""=""""1.154"""""",""=""""  53             :    28  3d8.(3F).4p            2G*  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4G*"""""",""=""""5/2"""""",""="""""""""",""=""""33674.38"""""",""="""""""""",""="""""""""",""=""""0.704"""""",""=""""  52             :    30  3d8.(3F).4p            4F*  """""",""="""""""""""
"=""3p6.3d8.(3F).4p"",""=""""y 4F*"""""",""=""""9/2"""""",""="""""""""",""=""""32841.99"""""",""="""""""""",""="""""""""",""=""""1.313"""""",""=""""  51             :    22  3d7.(4F).4s.4p.(1P*)   4F*  """""",""="""""""""""
