Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""3p6.11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33737.3284"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33851.5956"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33851.6418"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.12s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33871.4788"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.10f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""33910.42"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.10f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""33910.42"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.12p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33972.2064"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.12p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33972.8148"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.11d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34057.0051"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.11d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34057.0385"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.13s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34072.2393"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.11f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34101.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.11f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34101.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.13p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34148.0284"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.13p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34148.4861"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.12d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34212.3139"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.12d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34212.3393"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.14s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34224.2113"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.12f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34246.37"""""",""="""""""""",""=""""0.05"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.12f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34246.37"""""",""="""""""""",""=""""0.05"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.14p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34282.6573"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.14p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34283.0181"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.13d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34332.5627"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.13d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34332.5823"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.15s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34342.0150"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.13f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34359.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.13f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34359.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34388.0315"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34388.3148"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.14d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34427.5513"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.14d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34427.5667"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.16s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34435.1762"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.14f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34448.98"""""",""="""""""""",""=""""0.07"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.14f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34448.98"""""",""="""""""""",""=""""0.07"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34472.0505"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.16p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34472.2798"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.15d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34503.8844"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.15d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34503.8967"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.17s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34510.1190"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.17p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34540.1250"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.17p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34540.3088"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.16d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34566.1420"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.16d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34566.1522"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.18s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34571.3017"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.18p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34596.0448"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.18p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34596.1996"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.17d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34617.5815"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.17d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34617.5899"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.19s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34621.8976"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.19p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34642.6698"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.18d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34660.5702"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
