Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""4p6.19p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33280.81"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.20p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33326.13"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.20p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33326.70"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.21p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33364.81"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.21p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33365.29"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.22p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33397.66"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.22p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33398.09"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.23p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33425.76"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.23p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33426.15"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.24p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33450.03"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.24p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33450.38"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.25p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33471.11"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.25p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33471.43"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.26p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33489.53"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.26p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33489.79"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.27p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33505.92"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.27p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33505.92"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.28p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33520.22"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.28p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33520.22"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.29p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33532.91"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.29p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33532.91"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
