Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s2.14p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""42923.39"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""42995.51"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""42995.51"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43055.34"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.16p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43055.34"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.17p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43105.42"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.17p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43105.42"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.18p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43146.96"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.18p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43146.96"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.19p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43181.84"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.19p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43181.84"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.20p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43211.39"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.20p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""43211.39"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
"=""1s2.21p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""43237.16"""""",""="""""""""",""=""""0.10"""""",""="""""""""""
