Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""18d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32333.827"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""20s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32356.444"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""20p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32386.15"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""20p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32391.99"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""19d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32396.552"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""19d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32397.761"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""21s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32416.340"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""22d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32431.57"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""22d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32530.86"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""21p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32440.87"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""21p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32445.71"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""20d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32449.483"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""20d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32450.488"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""22s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32465.937"""""",""="""""""""",""=""""0.006"""""",""=""""L10669"""""""
"=""22p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32486.43"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""22p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32490.48"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""21d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32493.64"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""21d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32494.48"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""23s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32507.47"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""23p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32524.76"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""23p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32528.19"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""24s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32542.59"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""24p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32557.32"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""24p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32560.25"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""23d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32562.52"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""23d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32563.13"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""25s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32572.56"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""25p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32585.20"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""25p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32587.72"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
"=""24d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32589.68"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""24d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32590.20"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""26s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32598.34"""""",""="""""""""",""=""""0.03"""""",""=""""L11797"""""""
"=""26p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32609.27"""""",""="""""""""",""=""""0.05"""""",""=""""L11797"""""""
