Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p6.10g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""40352.015"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.10h"",""=""""2H*"""""",""=""""9/2,11/2"""""",""=""""["""""",""=""""40352.073"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""40382.925"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""40383.097"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.12s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""40482.236"""""",""="""""""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""40540.093"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""40540.095"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11f"",""=""""2F*"""""",""=""""5/2"""""",""=""""["""""",""=""""40542.293"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11f"",""=""""2F*"""""",""=""""7/2"""""",""=""""["""""",""=""""40542.293"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.11g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""40542.484"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.12p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""40565.783"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.12p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""40565.913"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.13s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""40641.148"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.12d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""40685.509"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.12d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""40685.509"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.12f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""40687.203"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.12g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""40687.352"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.13p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""40705.344"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.13p"",""=""""2P*"""""",""=""""3/2"""""",""=""""["""""",""=""""40705.444"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.14s"",""=""""2S"""""",""=""""1/2"""""",""=""""["""""",""=""""40763.884"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.13d"",""=""""2D"""""",""=""""5/2"""""",""=""""["""""",""=""""40798.642"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.13d"",""=""""2D"""""",""=""""3/2"""""",""=""""["""""",""=""""40798.644"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.13f"",""=""""2F*"""""",""=""""5/2,7/2"""""",""=""""["""""",""=""""40799.974"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.13g"",""=""""2G"""""",""=""""7/2,9/2"""""",""=""""["""""",""=""""40800.091"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
"=""2p6.14p"",""=""""2P*"""""",""=""""1/2"""""",""=""""["""""",""=""""40814.273"""""",""=""""]"""""",""=""""0.002"""""",""=""""                                                                                              """""",""="""""""""""
