Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""5p6.12d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30196.7963"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.12d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30199.09821"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.14s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30297.64510"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.10f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30302.13624"""""",""="""""""""",""=""""0.00017"""""",""=""""L7057,L4940"""""""
"=""5p6.10f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30302.16537"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.10g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30307.66076"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.10g"",""=""""2G"""""",""=""""9/2"""""",""="""""""""",""=""""30307.6617"""""",""="""""""""",""=""""0.0020"""""",""=""""L7057,L5289"""""""
"=""5p6.14p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30392.87183"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.14p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30399.163"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.13d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30415.7533"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.13d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30417.46075"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.15s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30491.02346"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.11f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30494.26583"""""",""="""""""""",""=""""0.00017"""""",""=""""L7057,L4940"""""""
"=""5p6.11f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30494.28809"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.11g"",""=""""2G"""""",""=""""9/2"""""",""="""""""""",""=""""30498.4556"""""",""="""""""""",""=""""0.0020"""""",""=""""L7057,L5289"""""""
"=""5p6.11g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30498.45695"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30562.90893"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30567.688"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.14d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30580.2267"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.14d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30581.52758"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.16s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30637.88276"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.12f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30640.30287"""""",""="""""""""",""=""""0.00018"""""",""=""""L7057,L4940"""""""
"=""5p6.12f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30640.32028"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.12g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30643.55484"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30693.47416"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.16p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30697.191"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.15d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30706.9003"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.15d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30707.91378"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.17s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30752.03412"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.13f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30753.89018"""""",""="""""""""",""=""""0.00018"""""",""=""""L7057,L4940"""""""
"=""5p6.13f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30753.90406"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.13g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30756.46241"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.17p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30795.90702"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.17p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30798.852"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.16d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30806.5283"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.16d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30807.33297"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.18s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30842.51775"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.14f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30843.97365"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057,L4940"""""""
"=""5p6.14f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30843.98488"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.14g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30846.04223"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.18p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30877.74761"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.18p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30880.1228"""""",""="""""""""",""=""""0.0002"""""",""=""""L7057,L6284"""""""
"=""5p6.17d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30886.2959"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.17d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30886.94513"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.19s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30915.45262"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.15f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30916.61661"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057,L4940"""""""
"=""5p6.15f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30916.62583"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.15g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30918.30448"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.19p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30944.16859"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.19p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30946.113"""""",""="""""""""",""=""""0.003"""""",""=""""L7057,L6284"""""""
"=""5p6.18d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30951.1511"""""",""="""""""""",""=""""0.0005"""""",""=""""L6147"""""""
"=""5p6.18d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30951.68259"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.20s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30975.10034"""""",""="""""""""",""=""""0.00020"""""",""=""""L7057"""""""
"=""5p6.16f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30976.04620"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057,L4940"""""""
"=""5p6.16f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30976.05385"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.16g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30977.44090"""""",""="""""""""",""=""""0.00015"""""",""=""""L7057"""""""
"=""5p6.20p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30998.79"""""",""="""""""""",""=""""0.03"""""",""=""""L4891,L6284"""""""
"=""5p6.20p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31000.40"""""",""="""""""""",""=""""0.03"""""",""=""""L4891"""""""
